M2,f0,z,DM_over_rd,DH_over_rd
3.0,0.0005,0.76453125,18.877310150150706,19.471020416199448
3.0,0.0005,0.8009375000000001,19.578406110419934,19.0441224655435
3.0,0.0005,0.83734375,20.264159254181013,18.62815324321975
3.0,0.0005,0.87375,20.934966117817904,18.22303926558797
3.0,0.0005,0.91015625,21.591220058380177,17.828679357575616
3.0,0.0005,0.9465625,22.233310308188326,17.444948099696198
3.0,0.0005,0.9829687500000001,22.86162115121813,17.07169907103968
3.0,0.0005,1.0193750000000001,23.476531213637934,16.708767877344386
3.0,0.0005,1.0557812500000001,24.078410733899243,16.355858128427176
3.0,0.0005,1.0921875,24.667622492619092,16.012856513693187
3.0,0.0005,1.12859375,25.244522492544423,15.679503997226336
3.0,0.0005,1.165,25.809457686805654,15.355562468626848
3.0,0.0005,1.20140625,26.36276625571373,15.040788097997076
3.0,0.0005,1.2378125,26.904778474768044,14.734990459493078
3.0,0.0005,1.27421875,27.43581485119766,14.437823352949398
3.0,0.0005,1.310625,27.956186445759883,14.149114030726476
3.0,0.0005,1.3470312500000001,28.466196706527885,13.868617032923208
3.0,0.0005,1.3834375,28.966140020748494,13.596080057307882
3.0,0.0005,1.41984375,29.456301699347815,13.331256792783465
3.0,0.0005,1.45625,29.9369581982059,13.073907092982651
3.0,0.0005,1.49265625,30.408377344882958,12.823797102151646
3.0,0.0005,1.5290625,30.870818569158672,12.580699338746165
3.0,0.0005,1.56546875,31.324533135935887,12.344392741718995
3.0,0.0005,1.6018750000000002,31.76976437923318,12.114662684054789
3.0,0.0005,1.6382812500000001,32.20674793614962,11.891300957706646
3.0,0.0005,1.6746875,32.63571197982933,11.674105733710967
3.0,0.0005,1.71109375,33.056877450584416,11.462881500902938
3.0,0.0005,1.7475,33.47045711701145,11.257374852170335
3.0,0.0005,1.78390625,33.87665680519913,11.057457803633763
3.0,0.0005,1.8203125,34.27567686185461,10.862957325937561
3.0,0.0005,1.85671875,34.66771001988767,10.673628179741312
3.0,0.0005,1.893125,35.05294261109439,10.489363955220027
3.0,0.0005,1.9295312500000001,35.431555536854084,10.309972738874635
3.0,0.0005,1.9659375000000001,35.80372322235934,10.135290670855909
3.0,0.0005,2.00234375,36.16961457690429,9.965178591699384
3.0,0.0005,2.0387500000000003,36.529392992439625,9.799472562172907
3.0,0.0005,2.07515625,36.88321631118701,9.638031643692196
3.0,0.0005,2.1115625000000002,37.23123770133195,9.480740003754915
3.0,0.0005,2.14796875,37.57360478742954,9.327408932078443
3.0,0.0005,2.184375,37.91046047670405,9.177967989439805
3.0,0.0005,2.22078125,38.24194374234648,9.032271496496193
3.0,0.0005,2.2571875,38.56818822856206,8.890172381441095
3.0,0.0005,2.29359375,38.889323490996524,8.751593108521094
3.0,0.0005,2.33,39.205475566792266,8.61641792231772
3.0,0.001,0.0,0.0,30.297631395051567
3.0,0.001,0.03640625,1.0933990022476472,29.7689232348621
3.0,0.001,0.0728125,2.167391239455627,29.231508680426067
3.0,0.001,0.10921875,3.2216980613016646,28.687492691373425
3.0,0.001,0.145625,4.256114217708755,28.13880259622642
3.0,0.001,0.18203125,5.270507735147503,27.587536559206953
3.0,0.001,0.2184375,6.264814645603408,27.035332341374954
3.0,0.001,0.25484375000000004,7.239033855049097,26.484006203280863
3.0,0.001,0.29125,8.193225488947201,25.93510501515579
3.0,0.001,0.32765625,9.127500971354335,25.389900026952933
3.0,0.001,0.3640625,10.04202075643555,24.849813488238162
3.0,0.001,0.40046875000000004,10.936989461332615,24.315849270055526
3.0,0.001,0.436875,11.8126493612141,23.789072268498195
3.0,0.001,0.47328125,12.669276520009317,23.270273794071688
3.0,0.001,0.5096875000000001,13.507174125432774,22.760152598289828
3.0,0.001,0.54609375,14.326669148794462,22.259316496257867
3.0,0.001,0.5825,15.128109084840759,21.76828514062028
3.0,0.001,0.61890625,15.911858810098813,21.287493757676415
3.0,0.001,0.6553125,16.678293828397187,20.81709093854319
3.0,0.001,0.69171875,17.427799944147466,20.357493961042966
3.0,0.001,0.728125,18.160769414386817,19.908640026354814
3.0,0.001,0.76453125,18.87759768698058,19.47076722343125
3.0,0.001,0.8009375000000001,19.578684405464045,19.043867955059408
3.0,0.001,0.83734375,20.264428298836027,18.627899577822028
3.0,0.001,0.87375,20.935225974645665,18.222788191977713
3.0,0.001,0.91015625,21.591470847077783,17.828432267812502
3.0,0.001,0.9465625,22.23355219366089,17.444706085251013
3.0,0.001,0.9829687500000001,22.861854333495668,17.0714629700501
3.0,0.001,1.0193750000000001,23.47675591940023,16.70853831569392
3.0,0.001,1.0557812500000001,24.078627209702823,16.355635572173863
3.0,0.001,1.0921875,24.6678309990593,16.01264126801031
3.0,0.001,1.12859375,25.244723299251348,15.679296253269584
3.0,0.001,1.165,25.809651068595187,15.355362320125872
3.0,0.001,1.20140625,26.3629524893749,15.040595559618062
3.0,0.001,1.2378125,26.904957836357795,14.734805476352111
3.0,0.001,1.27421875,27.435987614030232,14.437645829257951
3.0,0.001,1.310625,27.956352878797606,14.148943823198797
3.0,0.001,1.3470312500000001,28.466357072957848,13.868453967578285
3.0,0.001,1.3834375,28.9662945770138,13.595923937641412
3.0,0.001,1.41984375,29.456450694434086,13.331107405618877
3.0,0.001,1.45625,29.9371018731237,13.073764213381441
3.0,0.001,1.49265625,30.40851593231415,12.82366049751037
3.0,0.001,1.5290625,30.87095229323921,12.58056877219244
3.0,0.001,1.56546875,31.32466221215122,12.344267974905149
3.0,0.001,1.6018750000000002,31.769889014406022,12.114543479435662
3.0,0.001,1.6382812500000001,32.206868328502615,11.89118708037709
3.0,0.001,1.6746875,32.635828319107794,11.673996952868901
3.0,0.001,1.71109375,33.05698991822657,11.462777590995207
3.0,0.001,1.7475,33.47056588638961,11.25727559564354
3.0,0.001,1.78390625,33.876762041852274,11.057362987713256
3.0,0.001,1.8203125,34.275778723705,10.862866744968562
3.0,0.001,1.85671875,34.66780865753766,10.673541637254937
3.0,0.001,1.893125,35.0530381681043,10.489281260826354
3.0,0.001,1.9295312500000001,35.431648150004946,10.309893710539646
3.0,0.001,1.9659375000000001,35.803813021945764,10.135215134277706
3.0,0.001,2.00234375,36.16970168700943,9.965106379949184
3.0,0.001,2.0387500000000003,36.529477531209714,9.799403516031985
3.0,0.001,2.07515625,36.88329839110395,9.637965611205285
3.0,0.001,2.1115625000000002,37.23131742947023,9.480676839817649
3.0,0.001,2.14796875,37.57368226571712,9.327348499066925
3.0,0.001,2.184375,37.910535802168624,9.177910155779808
3.0,0.001,2.22078125,38.242017007346334,9.032216137244928
3.0,0.001,2.2571875,38.56825952102205,8.890119377987496
3.0,0.001,2.29359375,38.88939289462566,8.751542347875773
3.0,0.001,2.33,39.20554316128964,8.616369297184136
3.0,0.002,0.0,0.0,30.30205176502198
3.0,0.002,0.03640625,1.0935469074967583,29.772628131795635
3.0,0.002,0.0728125,2.167662433171657,29.234576712147316
3.0,0.002,0.10921875,3.222070708134827,28.68999804977789
3.0,0.002,0.145625,4.256569093579362,28.14081454116654
3.0,0.002,0.18203125,5.271028034752132,27.589118707809657
3.0,0.002,0.2184375,6.2653857814642775,27.036542914145123
3.0,0.002,0.25484375000000004,7.23964325445332,26.48489766207689
3.0,0.002,0.29125,8.19386238981796,25.93572436653859
3.0,0.002,0.32765625,9.128156230658123,25.39028920751325
3.0,0.002,0.3640625,10.042686665445022,24.85000935588715
3.0,0.002,0.40046875000000004,10.93765957265854,24.315884259275997
3.0,0.002,0.436875,11.813318330977316,23.788974566819935
3.0,0.002,0.47328125,12.669939962848307,23.270067870728088
3.0,0.002,0.5096875000000001,13.50782848543521,22.759859550354978
3.0,0.002,0.54609375,14.327311582995211,22.258954392855436
3.0,0.002,0.5825,15.128737359067843,21.76786935705742
3.0,0.002,0.61890625,15.912471206687297,21.287037293281706
3.0,0.002,0.6553125,16.678889067504322,20.81660484602285
3.0,0.002,0.69171875,17.42837711344956,20.356987377578058
3.0,0.002,0.728125,18.161327908494243,19.908120676378722
3.0,0.002,0.76453125,18.87813715581794,19.470241408356607
3.0,0.002,0.8009375000000001,19.579204708023184,19.043340858712533
3.0,0.002,0.83734375,20.26492946531585,18.627375421742936
3.0,0.002,0.87375,20.93570817393628,18.22227037371427
3.0,0.002,0.91015625,21.591934358988976,17.8279234832579
3.0,0.002,0.9465625,22.233997385335147,17.44420843618835
3.0,0.002,0.9829687500000001,22.86228163948952,17.070978058128958
3.0,0.002,1.0193750000000001,23.477165824962572,16.708067324081522
3.0,0.002,1.0557812500000001,24.07902023743775,16.35517936983389
3.0,0.002,1.0921875,24.668207697443613,16.012200407312303
3.0,0.002,1.12859375,25.24508423280507,15.678871063188272
3.0,0.002,1.165,25.80999681034613,15.354952939067426
3.0,0.002,1.20140625,26.363283614582812,15.040201971788877
3.0,0.002,1.2378125,26.90527491724179,14.734427530506988
3.0,0.002,1.27421875,27.436291215872586,14.437283295562409
3.0,0.002,1.310625,27.956643556840184,14.14859637991088
